date,amount,category,subcategory,description,payment_mode
2025-12-11 11:04:32,199,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Credit Card
2026-04-08 22:11:42,32.08,Travel,Metro Fare,Paid for metro fare,UPI
2026-02-27 14:11:30,630.92,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Debit Card
2026-03-20 10:46:03,98.85,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-03-11 15:30:00,411.7,Food,Zomato/Swiggy,Burger & Fries,Cash
2026-06-21 14:00:28,1414.63,Education,Exam Registration,Paid for exam registration,UPI
2025-09-13 15:26:23,422.06,Food,Zomato/Swiggy,Biryani order,UPI
2026-01-03 11:34:19,455.22,Entertainment,Gaming Parlor,Paid for gaming parlor,Credit Card
2026-05-15 22:48:14,500.74,Other,Laundry Services,Paid for laundry services,UPI
2026-05-24 23:41:54,47.81,Travel,Metro Fare,Paid for metro fare,UPI
2026-04-15 11:20:56,62.95,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2025-11-17 19:32:20,2080.82,Shopping,Footwear,Paid for footwear,UPI
2025-08-08 16:45:14,417.53,Food,Restaurant,Paid for restaurant,UPI
2026-06-15 22:55:27,71.07,Education,Reference Books,Paid for reference books,UPI
2026-04-14 14:39:28,33.42,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2026-05-04 13:06:05,320.22,Food,Restaurant,Paid for restaurant,UPI
2025-10-01 18:02:09,508.83,Food,Restaurant,Paid for restaurant,UPI
2026-01-13 12:56:35,2669.88,Travel,Train/Flight Home,Paid for train/flight home,Debit Card
2026-06-16 20:22:12,745.91,Shopping,Footwear,Paid for footwear,UPI
2026-05-16 22:46:51,150.4,Entertainment,Movie Ticket,IMAX show,UPI
2026-02-14 16:14:54,992.34,Shopping,Clothes,Paid for clothes,UPI
2026-03-23 11:50:49,230.39,Entertainment,Movie Ticket,IMAX show,Debit Card
2025-12-21 21:29:54,2634.5,Shopping,Clothes,Paid for clothes,Debit Card
2026-02-07 16:20:27,168.98,Food,Zomato/Swiggy,Late night dessert,UPI
2026-01-20 22:50:57,299,Recharge,Mobile Data,Paid for mobile data,UPI
2026-01-17 09:41:05,359.82,Food,Zomato/Swiggy,Pizza party,Cash
2026-03-20 12:45:22,317.36,Entertainment,Gaming Parlor,Paid for gaming parlor,Debit Card
2026-04-05 22:36:51,2516.86,Shopping,Footwear,Paid for footwear,Credit Card
2025-10-03 20:04:26,85.53,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-06-13 14:44:48,453.05,Food,Restaurant,Paid for restaurant,Cash
2026-04-08 18:51:12,76.14,Education,Reference Books,Paid for reference books,UPI
2026-03-21 15:36:27,299,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-05-24 22:57:19,245.7,Food,Zomato/Swiggy,Pizza party,UPI
2025-08-20 22:20:42,51.17,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-15 08:07:27,126.3,Food,Groceries,Paid for groceries,UPI
2026-05-03 10:16:27,890.14,Other,Laundry Services,Paid for laundry services,Debit Card
2026-04-02 23:44:19,2720.59,Shopping,Electronics,Paid for electronics,Credit Card
2025-11-22 17:47:29,421.39,Entertainment,Movie Ticket,IMAX show,UPI
2025-10-28 10:33:13,433.31,Food,Restaurant,Paid for restaurant,Cash
2026-02-16 18:43:32,62.57,Snacks,Maggi & Noodles,Paid for maggi & noodles,Cash
2026-02-04 22:56:25,227.54,Food,Zomato/Swiggy,Burger & Fries,Debit Card
2026-06-12 09:27:36,1711.34,Education,Online Course,Paid for online course,Debit Card
2025-12-01 22:11:44,3936.16,Education,Online Course,Paid for online course,Debit Card
2025-09-01 12:33:11,27.0,Travel,Metro Fare,Paid for metro fare,UPI
2026-05-23 10:35:57,321.4,Food,Zomato/Swiggy,Burger & Fries,UPI
2025-09-26 19:53:33,210.22,Food,Zomato/Swiggy,Biryani order,UPI
2026-01-29 23:55:45,550.14,Food,Restaurant,Paid for restaurant,Cash
2025-12-08 14:50:16,199,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Credit Card
2025-10-26 12:43:31,1328.36,Medical,Pharmacy,Paid for pharmacy,Debit Card
2025-12-09 11:20:21,36.54,Travel,Metro Fare,Paid for metro fare,UPI
2025-09-21 17:18:38,1313.95,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-03-22 13:38:04,99.13,Food,Groceries,Paid for groceries,UPI
2026-02-21 23:37:29,342.42,Food,Restaurant,Paid for restaurant,Credit Card
2026-02-27 19:58:00,305.56,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-05-24 13:19:20,657.71,Food,Restaurant,Paid for restaurant,UPI
2025-09-18 13:43:02,249.75,Food,Groceries,Paid for groceries,UPI
2026-06-09 09:00:53,36.64,Travel,Metro Fare,Paid for metro fare,UPI
2026-01-02 14:11:40,541.97,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Credit Card
2025-12-28 08:21:27,1664.75,Shopping,Footwear,Paid for footwear,UPI
2026-06-09 20:24:38,403.94,Food,Zomato/Swiggy,Biryani order,Credit Card
2026-03-18 15:40:27,51.14,Snacks,Juice & Shakes,Paid for juice & shakes,Cash
2026-05-05 18:20:47,4759.07,Travel,Train/Flight Home,Paid for train/flight home,Debit Card
2026-05-17 15:45:16,82.44,Shopping,Toiletries,Paid for toiletries,UPI
2026-01-23 09:29:58,17.83,Travel,Metro Fare,Paid for metro fare,UPI
2026-03-09 18:35:31,922.94,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-06-27 16:29:05,41.96,Travel,Metro Fare,Paid for metro fare,Cash
2026-04-01 08:36:52,140.12,Food,Groceries,Paid for groceries,UPI
2026-03-12 08:17:56,237.07,Food,Groceries,Paid for groceries,UPI
2026-01-10 08:01:52,129.23,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2025-11-28 21:11:37,23.6,Travel,Metro Fare,Paid for metro fare,UPI
2025-09-01 11:37:32,2708.07,Shopping,Footwear,Paid for footwear,Credit Card
2026-06-06 14:23:03,23.01,Travel,Auto/E-Rickshaw,Shared auto to market,UPI
2026-06-24 18:58:14,30.72,Travel,Auto/E-Rickshaw,Shared auto to market,UPI
2026-04-09 23:35:30,53.73,Travel,Auto/E-Rickshaw,Auto to college,UPI
2025-12-13 08:49:56,299,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2025-12-05 18:46:27,473.14,Education,Stationery,Paid for stationery,Debit Card
2026-03-19 19:08:33,246.39,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-02-16 12:30:08,369.29,Food,Zomato/Swiggy,Burger & Fries,Debit Card
2026-03-24 09:57:13,44.43,Travel,Metro Fare,Paid for metro fare,UPI
2026-02-15 18:36:32,425.37,Food,Zomato/Swiggy,Late night dessert,UPI
2026-04-16 15:39:49,1528.04,Shopping,Footwear,Paid for footwear,Debit Card
2025-12-16 21:07:39,87.76,Snacks,Juice & Shakes,Paid for juice & shakes,Cash
2026-04-11 13:15:04,27.37,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2025-11-06 16:24:12,615.54,Food,Restaurant,Paid for restaurant,UPI
2026-06-18 22:50:09,28.18,Travel,Auto/E-Rickshaw,Shared auto to market,UPI
2025-10-06 20:39:55,691.64,Food,Restaurant,Paid for restaurant,Debit Card
2026-04-08 14:56:03,277.45,Food,Restaurant,Paid for restaurant,UPI
2026-06-14 22:06:08,1624.16,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-04-14 23:24:22,320.78,Food,Restaurant,Paid for restaurant,Cash
2026-04-15 18:42:18,47.99,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-02-20 09:19:41,37.43,Snacks,Tea/Coffee,Chai & biscuits,UPI
2025-11-12 20:42:13,299,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-05-02 09:04:34,1108.94,Education,Exam Registration,Paid for exam registration,UPI
2026-04-11 17:47:53,333.01,Education,Stationery,Paid for stationery,UPI
2025-12-20 13:10:42,130.75,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2025-10-26 15:05:40,468.7,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2026-06-24 18:03:15,268.06,Food,Zomato/Swiggy,Pizza party,UPI
2025-09-12 17:00:58,56.48,Travel,Auto/E-Rickshaw,Shared auto to market,UPI
2026-02-03 19:50:28,61.86,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-23 12:51:27,2256.46,Entertainment,Weekend Outing,Paid for weekend outing,Debit Card
2026-02-21 23:49:42,279.78,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2025-10-13 10:23:11,18.72,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-03-13 14:59:38,461.97,Other,Laundry Services,Paid for laundry services,UPI
2025-11-16 10:25:04,2572.82,Shopping,Footwear,Paid for footwear,Credit Card
2025-09-19 13:31:42,438.97,Food,Restaurant,Paid for restaurant,Debit Card
2026-02-22 18:03:33,1067.4,Shopping,Footwear,Paid for footwear,Cash
2026-06-06 22:09:20,2412.74,Shopping,Clothes,Paid for clothes,Credit Card
2026-05-18 17:25:26,163.03,Food,Groceries,Paid for groceries,UPI
2026-01-07 11:04:52,994.45,Medical,Pharmacy,Paid for pharmacy,UPI
2026-03-25 10:41:39,458.93,Other,Hostel Security,Paid for hostel security,Debit Card
2026-05-13 10:06:27,478.63,Travel,Uber/Ola Cab,Paid for uber/ola cab,Debit Card
2026-01-25 18:10:01,151.39,Food,Zomato/Swiggy,Biryani order,Debit Card
2026-04-04 19:56:25,353.68,Food,Restaurant,Paid for restaurant,Credit Card
2025-10-13 22:35:02,228.32,Other,Miscellaneous,Paid for miscellaneous,UPI
2025-09-25 13:34:22,119.68,Food,Groceries,Paid for groceries,UPI
2026-04-07 20:45:54,199,Recharge,Mobile Data,Paid for mobile data,UPI
2026-05-16 11:43:08,280.18,Food,Zomato/Swiggy,Burger & Fries,UPI
2025-07-07 08:12:54,3240.57,Food,Hostel Mess,Paid for hostel mess,UPI
2025-11-30 13:19:46,307.57,Food,Restaurant,Paid for restaurant,UPI
2025-09-22 15:30:15,276.28,Entertainment,Movie Ticket,Popcorn and ticket,Debit Card
2026-01-22 13:44:02,362.25,Medical,First Aid,Paid for first aid,UPI
2025-12-30 11:01:14,506.1,Food,Restaurant,Paid for restaurant,Debit Card
2025-09-06 15:01:50,134.41,Entertainment,Movie Ticket,Popcorn and ticket,UPI
2026-04-24 15:32:50,7211.17,Shopping,Electronics,Paid for electronics,UPI
2026-05-25 23:23:38,18.52,Travel,Auto/E-Rickshaw,Auto to college,UPI
2026-02-24 19:34:24,67.2,Food,Groceries,Paid for groceries,UPI
2026-06-04 20:24:18,227.33,Food,Zomato/Swiggy,Biryani order,UPI
2026-03-20 09:27:01,199.9,Food,Zomato/Swiggy,Pizza party,Credit Card
2026-03-15 16:46:21,69.19,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-05-20 10:34:22,397.43,Food,Restaurant,Paid for restaurant,UPI
2026-01-22 22:10:42,322.11,Food,Restaurant,Paid for restaurant,UPI
2026-02-01 21:19:09,771.68,Food,Restaurant,Paid for restaurant,UPI
2025-10-14 20:43:24,236.98,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-06-01 11:12:12,378.25,Food,Zomato/Swiggy,Late night dessert,Debit Card
2026-02-08 14:36:43,2365.68,Entertainment,Weekend Outing,Paid for weekend outing,Credit Card
2026-03-29 17:42:47,68.47,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-03-11 15:24:17,1848.55,Entertainment,Weekend Outing,Paid for weekend outing,Debit Card
2026-02-27 16:17:06,156.35,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-06-28 14:05:16,294.66,Other,Hostel Security,Paid for hostel security,UPI
2025-12-22 08:02:28,470.94,Education,Stationery,Paid for stationery,Debit Card
2026-02-14 08:30:41,344.31,Shopping,Toiletries,Paid for toiletries,UPI
2026-02-01 13:19:24,29.32,Travel,Auto/E-Rickshaw,Rickshaw from metro station,UPI
2026-05-21 23:11:14,433.61,Food,Restaurant,Paid for restaurant,UPI
2026-02-04 18:22:25,775.36,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Debit Card
2025-10-27 23:07:21,90.06,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-06-16 23:07:02,676.36,Food,Restaurant,Paid for restaurant,UPI
2026-05-26 18:19:39,464.23,Other,Laundry Services,Paid for laundry services,Debit Card
2026-05-28 21:04:48,77.86,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-01-24 10:59:33,499,Recharge,OTT Subscription,Paid for ott subscription,UPI
2025-10-10 21:15:57,255.45,Education,Reference Books,Paid for reference books,UPI
2025-11-08 21:29:56,478.21,Education,Stationery,Paid for stationery,Cash
2025-11-05 18:27:01,22.47,Travel,Metro Fare,Paid for metro fare,UPI
2026-05-22 11:08:36,50.41,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-03-08 23:07:04,80.93,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-05-28 11:28:56,272.05,Food,Restaurant,Paid for restaurant,Credit Card
2026-06-06 08:46:57,25.28,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-02-15 22:59:22,763.01,Food,Restaurant,Paid for restaurant,UPI
2025-09-20 20:53:22,267.32,Entertainment,Movie Ticket,Popcorn and ticket,Debit Card
2025-09-08 17:33:50,677.66,Food,Restaurant,Paid for restaurant,Debit Card
2026-02-07 19:47:47,61.37,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2025-09-26 23:20:13,924.64,Medical,Pharmacy,Paid for pharmacy,UPI
2025-12-25 22:46:47,576.89,Food,Restaurant,Paid for restaurant,UPI
2025-07-25 17:21:51,499,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-05-30 17:13:38,35.23,Travel,Auto/E-Rickshaw,Auto to college,UPI
2026-04-22 09:27:21,238.69,Food,Groceries,Paid for groceries,Debit Card
2026-04-02 09:08:15,19.28,Snacks,Tea/Coffee,Chai at tapri,UPI
2026-05-17 19:27:07,234.36,Shopping,Toiletries,Paid for toiletries,UPI
2025-09-24 21:24:50,2005.45,Shopping,Footwear,Paid for footwear,UPI
2026-06-16 08:52:45,499,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-03-28 17:30:01,168.47,Food,Groceries,Paid for groceries,Debit Card
2026-04-12 15:11:27,347.96,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-03-11 20:56:44,20.64,Travel,Metro Fare,Paid for metro fare,Cash
2026-04-13 16:56:50,91.75,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-02-16 08:00:38,171.42,Food,Groceries,Paid for groceries,UPI
2025-11-06 21:12:25,33.3,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-03-29 19:32:01,259.39,Shopping,Toiletries,Paid for toiletries,UPI
2026-06-22 13:14:33,311.08,Education,Reference Books,Paid for reference books,UPI
2026-04-13 19:27:02,1270.28,Travel,Train/Flight Home,Paid for train/flight home,Debit Card
2026-06-20 19:51:56,379.26,Entertainment,Movie Ticket,Popcorn and ticket,UPI
2026-05-20 22:45:53,764.35,Food,Restaurant,Paid for restaurant,Credit Card
2026-01-29 11:18:51,63.07,Snacks,Chips & Biscuits,Paid for chips & biscuits,Cash
2026-05-14 20:44:52,14.04,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2026-06-01 18:54:37,2302.8,Education,Online Course,Paid for online course,Debit Card
2026-05-28 20:10:41,95.35,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-03-11 11:26:22,4008.76,Shopping,Electronics,Paid for electronics,Debit Card
2026-03-17 09:04:55,44.72,Travel,Metro Fare,Paid for metro fare,UPI
2025-12-12 18:30:47,410.14,Medical,First Aid,Paid for first aid,UPI
2026-04-07 08:26:02,233.37,Shopping,Toiletries,Paid for toiletries,UPI
2026-06-13 18:49:08,234.12,Food,Zomato/Swiggy,Burger & Fries,Credit Card
2026-06-10 21:30:56,448.42,Medical,First Aid,Paid for first aid,UPI
2026-05-27 22:43:55,393.3,Shopping,Toiletries,Paid for toiletries,UPI
2026-05-31 08:17:29,197.31,Food,Zomato/Swiggy,Late night dessert,UPI
2026-05-30 23:10:44,66.79,Snacks,Maggi & Noodles,Paid for maggi & noodles,Cash
2025-07-17 16:21:08,670.36,Food,Restaurant,Paid for restaurant,Cash
2025-11-28 15:42:47,34.28,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2025-10-13 13:44:57,13.99,Travel,Metro Fare,Paid for metro fare,UPI
2026-06-18 21:33:26,559.59,Food,Restaurant,Paid for restaurant,Debit Card
2025-10-14 12:49:13,421.51,Food,Zomato/Swiggy,Late night dessert,UPI
2026-03-14 13:35:05,326.04,Entertainment,Gaming Parlor,Paid for gaming parlor,Debit Card
2026-05-03 15:20:41,299,Recharge,OTT Subscription,Paid for ott subscription,Debit Card
2026-03-15 23:02:19,239.84,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2026-04-09 15:48:45,57.63,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2025-12-16 09:38:44,17.94,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2026-06-10 18:21:45,387.2,Shopping,Toiletries,Paid for toiletries,Debit Card
2025-11-16 19:47:07,329.44,Food,Zomato/Swiggy,Burger & Fries,UPI
2025-12-26 12:07:01,24.55,Snacks,Juice & Shakes,Paid for juice & shakes,Cash
2026-01-28 16:01:47,43.67,Travel,Auto/E-Rickshaw,Rickshaw from metro station,UPI
2026-04-02 10:01:15,565.9,Food,Restaurant,Paid for restaurant,UPI
2025-10-29 20:35:41,39.2,Travel,Metro Fare,Paid for metro fare,UPI
2026-06-29 22:33:55,454.31,Food,Restaurant,Paid for restaurant,UPI
2026-03-26 10:35:05,342.57,Food,Restaurant,Paid for restaurant,UPI
2026-06-18 21:25:26,37.92,Travel,Auto/E-Rickshaw,Shared auto to market,UPI
2026-02-09 15:44:34,632.34,Food,Restaurant,Paid for restaurant,UPI
2026-05-05 17:54:58,486.03,Education,Stationery,Paid for stationery,Debit Card
2025-11-27 15:47:13,44.58,Travel,Metro Fare,Paid for metro fare,UPI
2026-05-25 10:15:26,42.91,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-03-09 09:31:54,199,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-06-19 16:00:34,13941.53,Shopping,Electronics,Paid for electronics,Debit Card
2026-03-01 09:41:14,58.75,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-06-05 22:00:00,499,Recharge,OTT Subscription,Paid for ott subscription,Debit Card
2026-02-14 14:49:19,406.04,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2026-05-02 22:17:40,194.3,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-02-22 22:42:21,622.33,Food,Restaurant,Paid for restaurant,UPI
2026-06-03 22:03:43,2514.84,Food,Hostel Mess,Paid for hostel mess,Debit Card
2025-12-25 13:17:53,500,Medical,Doctor Consultation,Paid for doctor consultation,UPI
2026-01-19 09:33:54,300.7,Education,Stationery,Paid for stationery,Cash
2026-05-16 16:09:05,191.5,Food,Groceries,Paid for groceries,UPI
2026-03-21 12:33:54,20.56,Snacks,Tea/Coffee,Chai at tapri,UPI
2026-03-29 18:52:19,42.07,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-28 17:19:12,464.29,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-04-04 23:38:51,251.22,Food,Restaurant,Paid for restaurant,UPI
2026-03-30 21:13:44,649,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-05-18 11:33:41,2630.75,Shopping,Clothes,Paid for clothes,Credit Card
2026-06-20 21:49:01,38.59,Travel,Metro Fare,Paid for metro fare,UPI
2026-04-15 15:43:49,213.42,Food,Zomato/Swiggy,Late night dessert,UPI
2026-04-13 11:01:30,350.47,Shopping,Toiletries,Paid for toiletries,UPI
2026-02-12 11:04:44,437.94,Food,Restaurant,Paid for restaurant,UPI
2025-12-17 14:25:18,206.62,Food,Groceries,Paid for groceries,UPI
2025-08-26 19:47:12,1812.55,Shopping,Footwear,Paid for footwear,UPI
2025-12-26 18:31:18,501.15,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-05-31 22:45:24,312.5,Food,Zomato/Swiggy,Late night dessert,UPI
2025-11-13 15:45:15,188.09,Food,Zomato/Swiggy,Burger & Fries,Cash
2026-03-30 23:17:58,134.53,Food,Groceries,Paid for groceries,UPI
2026-02-14 17:29:13,366.92,Food,Zomato/Swiggy,Late night dessert,UPI
2025-08-27 09:54:35,2286.95,Shopping,Footwear,Paid for footwear,Debit Card
2026-02-06 08:29:56,296.78,Travel,Uber/Ola Cab,Paid for uber/ola cab,Debit Card
2026-05-04 19:16:21,199,Recharge,Mobile Data,Paid for mobile data,UPI
2026-05-12 15:05:17,64.73,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-03-27 16:13:18,2030.33,Shopping,Clothes,Paid for clothes,Credit Card
2026-03-04 23:17:33,96.99,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-03-08 17:12:06,667.46,Food,Restaurant,Paid for restaurant,UPI
2026-04-12 23:09:30,518.52,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-01-28 10:37:10,787.7,Food,Restaurant,Paid for restaurant,UPI
2025-12-05 17:11:08,439.71,Food,Restaurant,Paid for restaurant,Debit Card
2026-03-28 20:31:46,246.71,Food,Groceries,Paid for groceries,UPI
2026-02-01 16:27:17,509.9,Shopping,Clothes,Paid for clothes,Credit Card
2026-06-23 11:17:52,12505.83,Shopping,Electronics,Paid for electronics,Credit Card
2026-03-18 20:00:03,299,Recharge,Mobile Data,Paid for mobile data,Debit Card
2026-05-29 13:09:34,1438.71,Travel,Train/Flight Home,Paid for train/flight home,UPI
2025-09-12 10:18:32,238.29,Food,Zomato/Swiggy,Pizza party,Debit Card
2026-04-06 19:58:40,108.05,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-05-17 11:18:54,383.6,Entertainment,Movie Ticket,Movie with hostel mates,UPI
2026-05-01 20:54:49,414.67,Food,Zomato/Swiggy,Late night dessert,Cash
2025-09-21 14:59:16,16.51,Travel,Auto/E-Rickshaw,Auto to college,Cash
2025-11-16 20:06:41,2453.72,Shopping,Clothes,Paid for clothes,Credit Card
2025-10-09 12:13:21,23.3,Travel,Auto/E-Rickshaw,Auto to college,UPI
2026-06-27 11:47:25,300,Medical,Doctor Consultation,Paid for doctor consultation,UPI
2026-06-04 15:53:57,199,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-06-08 22:26:57,159.26,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-02-25 09:36:48,37.05,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2025-11-30 18:21:00,975.53,Shopping,Footwear,Paid for footwear,UPI
2026-05-04 19:28:54,196.44,Food,Groceries,Paid for groceries,Debit Card
2025-12-29 18:13:22,48.06,Snacks,Maggi & Noodles,Paid for maggi & noodles,Cash
2025-12-02 09:49:03,244.2,Education,Reference Books,Paid for reference books,UPI
2026-04-26 13:01:43,779.63,Food,Restaurant,Paid for restaurant,Debit Card
2026-04-25 11:29:01,47.24,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-17 09:06:18,39.23,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2025-11-04 15:53:17,32.66,Snacks,Tea/Coffee,Chai at tapri,UPI
2025-09-03 08:27:57,3730.13,Education,Online Course,Paid for online course,Debit Card
2026-05-18 12:19:55,499,Recharge,OTT Subscription,Paid for ott subscription,Debit Card
2026-04-24 19:22:47,21.79,Snacks,Tea/Coffee,Chai & biscuits,Cash
2025-12-08 23:55:56,104.52,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-04-28 19:33:48,14.76,Travel,Auto/E-Rickshaw,Shared auto to market,Cash
2026-05-29 09:27:02,316.87,Food,Zomato/Swiggy,Pizza party,UPI
2026-01-03 08:41:24,2546.95,Food,Hostel Mess,Paid for hostel mess,Credit Card
2025-11-16 13:53:41,199,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-02-14 12:59:43,8036.82,Shopping,Electronics,Paid for electronics,Debit Card
2026-01-02 15:33:40,1684.22,Education,Exam Registration,Paid for exam registration,Cash
2025-10-02 18:49:25,464.09,Food,Restaurant,Paid for restaurant,Credit Card
2026-05-08 13:01:40,22.16,Snacks,Tea/Coffee,Chai & biscuits,Cash
2025-08-06 11:54:42,3000.58,Food,Hostel Mess,Paid for hostel mess,Debit Card
2026-02-25 09:04:37,3035.6,Shopping,Electronics,Paid for electronics,Debit Card
2025-10-30 19:14:22,3913.7,Shopping,Electronics,Paid for electronics,UPI
2025-11-13 18:05:25,47.76,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-05-05 13:22:16,2098.31,Travel,Train/Flight Home,Paid for train/flight home,Credit Card
2026-03-15 12:28:39,20.96,Travel,Auto/E-Rickshaw,Rickshaw from metro station,Cash
2026-06-01 19:21:20,287.12,Food,Zomato/Swiggy,Pizza party,UPI
2026-02-18 12:34:32,248.7,Entertainment,Gaming Parlor,Paid for gaming parlor,Debit Card
2026-05-13 13:15:48,199,Recharge,Mobile Data,Paid for mobile data,UPI
2025-10-15 10:14:04,463.07,Travel,Uber/Ola Cab,Paid for uber/ola cab,Debit Card
2026-04-13 14:27:58,1959.17,Entertainment,Weekend Outing,Paid for weekend outing,Cash
2026-02-24 08:49:34,421.56,Travel,Uber/Ola Cab,Paid for uber/ola cab,Cash
2026-05-05 14:59:49,1863.72,Education,Online Course,Paid for online course,Cash
2026-06-14 20:44:03,295.36,Food,Zomato/Swiggy,Pizza party,UPI
2025-08-23 14:35:59,57.52,Travel,Auto/E-Rickshaw,Rickshaw from metro station,UPI
2026-06-23 13:11:52,2225.06,Entertainment,Weekend Outing,Paid for weekend outing,Debit Card
2026-02-19 11:55:13,38.81,Snacks,Tea/Coffee,Chai at tapri,UPI
2025-09-22 11:02:34,76.98,Food,Groceries,Paid for groceries,UPI
2026-02-06 19:39:02,32.83,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-06-05 17:26:52,160.24,Food,Groceries,Paid for groceries,UPI
2025-08-05 20:34:41,2208.44,Food,Hostel Mess,Paid for hostel mess,Debit Card
2026-01-05 13:35:42,640.1,Food,Restaurant,Paid for restaurant,UPI
2026-02-21 19:29:49,316.26,Medical,Pharmacy,Paid for pharmacy,UPI
2026-05-23 10:33:49,16.49,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-03-19 12:49:09,738.18,Food,Restaurant,Paid for restaurant,UPI
2025-12-20 14:59:19,40.81,Travel,Metro Fare,Paid for metro fare,UPI
2025-11-26 14:39:19,956.39,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-04-04 11:58:29,56.83,Travel,Metro Fare,Paid for metro fare,UPI
2025-12-29 14:04:11,686.75,Food,Restaurant,Paid for restaurant,UPI
2026-04-12 19:18:44,486.22,Entertainment,Movie Ticket,Popcorn and ticket,Debit Card
2026-05-24 17:02:44,299,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-05-02 08:08:28,655.63,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-06-17 22:15:36,149,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-03-22 21:03:23,381.03,Education,Reference Books,Paid for reference books,UPI
2026-05-11 18:40:36,149,Recharge,OTT Subscription,Paid for ott subscription,UPI
